id,type,shape,name,colour_hex,link,supplier,cost,width_mm,height_mm,notes
fd-round-chrome,floor,round,Kinetic 100mm Round Chrome,#C8C8C6,https://www.bunnings.com.au/search/products?q=kinetic+round+drain+chrome,Bunnings,24,100,100,
fd-round-black,floor,round,Kinetic 100mm Round Matte Black,#2A2A2A,https://www.bunnings.com.au/search/products?q=kinetic+round+drain+black,Bunnings,26,100,100,
fd-square-ss,floor,square,Mondella 100mm Square SS,#C8C8C6,https://www.bunnings.com.au/search/products?q=mondella+square+drain,Bunnings,39,100,100,
fd-tile-in,floor,square,Mondella Tile-In Square,#A0A09E,https://www.bunnings.com.au/search/products?q=mondella+tile+in+drain,Bunnings,39,100,100,Invisible tile-top insert
fd-linear-300,floor,rect,Linear Channel 300mm SS,#C8C8C6,https://www.bunnings.com.au/search/products?q=linear+channel+drain+300,Bunnings,80,300,90,SS grate
fd-linear-600,floor,rect,Mondella Rumba 600mm Tile-In,#A0A09E,https://www.bunnings.com.au/search/products?q=mondella+rumba+600,Bunnings,62,600,90,Tile-insert grate
fd-linear-900,floor,rect,Mondella Rumba 900mm Tile-In,#A0A09E,https://www.bunnings.com.au/search/products?q=mondella+rumba+900,Bunnings,99,900,90,Tile-insert grate
sd-round-chrome,shower,round,Kinetic 100mm Round Chrome,#C8C8C6,https://www.bunnings.com.au/search/products?q=kinetic+shower+drain+chrome,Bunnings,24,100,100,
sd-round-black,shower,round,Mondella Concerto Round Black,#2A2A2A,https://www.bunnings.com.au/search/products?q=mondella+concerto+drain+black,Bunnings,47,100,100,
sd-square-ss,shower,square,Mondella 100mm Square SS,#C8C8C6,https://www.bunnings.com.au/search/products?q=mondella+square+shower+drain,Bunnings,39,100,100,
sd-tile-in,shower,square,Mondella Tile-In Shower,#A0A09E,https://www.bunnings.com.au/search/products?q=mondella+tile+in+shower+drain,Bunnings,39,150,150,Tile-insert top
sd-linear-600,shower,rect,Mondella 600mm Rect Grate,#C8C8C6,https://www.bunnings.com.au/search/products?q=mondella+rect+grate+600,Bunnings,80,600,90,SS rectangle grate
sd-linear-900,shower,rect,Mondella 900mm Rect Grate,#C8C8C6,https://www.bunnings.com.au/search/products?q=mondella+rect+grate+900,Bunnings,117,900,90,SS rectangle grate
