id,type,name,colour_hex,link,supplier,cost,width_mm,depth_mm,notes
tap-chrome,tap,Basin Mixer — Chrome,#C0C0BE,https://www.reece.com.au/search?q=basin+mixer+chrome,Reece,90,,,from $90
tap-bn,tap,Basin Mixer — Brushed Nickel,#B0A898,https://www.reece.com.au/search?q=basin+mixer+brushed+nickel,Reece,120,,,from $120
tap-black,tap,Basin Mixer — Matte Black,#2A2A2A,https://www.reece.com.au/search?q=basin+mixer+matte+black,Reece,130,,,from $130
van-900-wh,vanity,Wall-Hung Vanity 900mm White,#F0EFED,https://www.bunnings.com.au/search/products?q=wall+hung+vanity+900,Bunnings,680,900,460,Wall-hung 900mm white gloss
van-1200-wh,vanity,Wall-Hung Vanity 1200mm White,#F0EFED,https://www.bunnings.com.au/search/products?q=wall+hung+vanity+1200,Bunnings,890,1200,460,Wall-hung 1200mm white gloss
van-600-wh,vanity,Wall-Hung Vanity 600mm White,#F0EFED,https://www.bunnings.com.au/search/products?q=wall+hung+vanity+600,Bunnings,480,600,460,Wall-hung 600mm white gloss
van-900-oak,vanity,Wall-Hung Vanity 900mm Oak,#C8A870,https://www.beaumonttiles.com.au/search?q=vanity+oak+900,Beaumonts,920,900,460,Oak finish 900mm
toi-estilo-cc,toilet,Estilo Close Coupled Rimless,#F5F4F2,https://www.bunnings.com.au/search/products?q=estilo+close+coupled+rimless,Bunnings,189,420,680,Close coupled rimless suite
toi-mondella-cc,toilet,Mondella Cadenza Close Coupled,#F5F4F2,https://www.bunnings.com.au/search/products?q=mondella+cadenza,Bunnings,234,420,680,
toi-mondella-btw,toilet,Mondella Rococo Back to Wall,#F5F4F2,https://www.bunnings.com.au/search/products?q=mondella+rococo,Bunnings,279,420,680,Back to wall
toi-mondella-con,toilet,Mondella Concerto Back to Wall,#F5F4F2,https://www.bunnings.com.au/search/products?q=mondella+concerto,Bunnings,309,420,680,
toi-mondella-sig,toilet,Mondella Signature Rimless BTW,#F5F4F2,https://www.bunnings.com.au/search/products?q=mondella+signature,Bunnings,328,420,680,
toi-mondella-torn,toilet,Mondella Tornado Rimless BTW,#F5F4F2,https://www.bunnings.com.au/search/products?q=mondella+tornado,Bunnings,349,420,680,
toi-caroma-luna,toilet,Caroma Luna Back to Wall,#F5F4F2,https://www.bunnings.com.au/search/products?q=caroma+luna,Bunnings,514,420,680,
toi-caroma-luna-wf,toilet,Caroma Luna Wall Faced,#F5F4F2,https://www.bunnings.com.au/search/products?q=caroma+luna+wall+faced,Bunnings,579,420,680,
sho-screen-note,shower,Shower Screen — Separate Quote,#D0E8FF,,,,900,900,Luke will quote screen separately on site visit
